House,Region,Average Price 2018,Average Price 2019,Average Price 2020,Sales 2018,Sales 2019,Sales 2020
Detached,Halton Region,1071710.593,1280300.788,1251410.571,3819,3533,5561
Detached,Peel Region,920159.3917,1111765.603,1104249.554,7215,7113,9564
Detached,City of Toronto,1314631.176,1501783.643,1476517.773,8098,8230,9709
Detached,York Region,1136964.567,1309837.039,1261704.154,6471,7056,9902
Detached,Durham Region,654943.2333,768193.601,781918.9047,6005,6376,8497
Semi Detached,Halton Region,672521.6734,833359.1257,801952.8186,447,358,623
Semi Detached,Peel Region,669293.4737,812837.4493,809505.1692,2590,2633,3316
Semi Detached,City of Toronto,1000609.241,1202444.204,1163440.608,2637,2555,3051
Semi Detached,York Region,759825.5617,922965.0644,860088.9688,915,885,1154
Semi Detached,Durham Region,488976.0099,579405.0881,601223.1009,609,579,872
Town Houses,Halton Region,674023.9814,860488.7866,794794.1421,1129,1134,1654
Town Houses,Peel Region,627076.3965,763707.8547,740427.846,1473,1473,1864
Town Houses,City of Toronto,940613.7635,1134789.238,1068163.07,905,895,1136
Town Houses,York Region,767039.3291,903275.0487,870835.457,1814,1787,2416
Town Houses,Durham Region,525753.1892,627756.8452,625377.855,1052,1079,1517
Condo Townhouse,Halton Region,537388.514,670333.8799,635070.5614,679,583,994
Condo Townhouse,Peel Region,536520.0276,655261.8311,634374.119,1886,1847,2311
Condo Townhouse,City of Toronto,652073.9797,779894.6417,726511.3187,2024,2054,2413
Condo Townhouse,York Region,615984.9617,700462.6086,691033.7037,549,580,783
Condo Townhouse,Durham Region,408043.4847,492063.4293,499619.0404,557,587,892
Condo,Halton Region,512102.6546,617358.0695,553029.8155,912,806,1187
Condo,Peel Region,418121.812,549364.6989,533947.5818,3074,2840,3233
Condo,City of Toronto,592949.6132,743296.3012,675262.4731,16345,13988,14857
Condo,York Region,491980.3394,618299.6051,574404.2746,1939,1780,2178
Condo,Durham Region,391033.0507,464964.4035,426352.1518,493,451,639
