House,Municipality 2021,Sales 2021,Dollar Volume 2021,Average Price 2021,Median 2021,Total New Listings 2021,Total Active Listings 2021,Sales 2020,Dollar Volume 2020,Average Price 2020,Median Price 2020,Total New Listings 2020,Total Active Listings 2020,Sales 2019,Dollar Volume 2019,Average Price 2019,Median Price 2019,New Listing 2019,Active Listing 2019,Sale2018,Dollar Volume 2018,Average Price,Median Price,New Listings,Active Listings
Detached,Halton Region,5823,9159723655,1573025,1374250.5,7495,3942,5561,6959094187,1251410.571,1080000,8245,8751,3533,4523302683,1280300.788,936500,7958,11928,3819,4092862755,1071710.593,913125,6753,10757
Detached,Peel Region,11276,15591408578,1382707,1264500,15597,7917,9564,10561042731,1104249.554,988500,14446,12493,7113,7907988732,1111765.603,880000,15228,18055,7215,6638950011,920159.3917,841250,11213,15363
Detached,City of Toronto,11534,19809440501,1717482,1392500,17284,12288,9709,14335511061,1476517.773,1192500,16661,17045,8230,12359679381,1501783.643,1036000,17972,22374,8098,10645883266,1314631.176,1005727.5,12053,16508
Detached,York Region,12572,20271320173,1612418,1440550,18435,14297,9902,12493394531,1261704.154,1184500,17329,21481,7056,9242210144,1309837.039,1050875,19919,34088,6471,7357297711,1136964.567,1037750,14958,27725
Detached,Durham Region,9900,10191540936,1029449,951000,12395,4961,8497,6643964933,781918.9047,734750,11095,7934,6376,4898002400,768193.601,643000,13807,16879,6005,3932934116,654943.2333,626250,9387,12513
Semi Detached,Halton Region,657,657971532,1001479,966000,812,274,623,499616606,801952.8186,793000,818,496,358,298342567,833359.1257,707375,584,458,447,300617188,672521.6734,663725,598,691
Semi Detached,Peel Region,3806,3652939780,959784,922125,4799,1719,3316,2684319141,809505.1692,790101.5,4409,2242,2633,2140201004,812837.4493,705500,4261,3080,2590,1733470097,669293.4737,664500,3108,3031
Semi Detached,City of Toronto,3919,5090716488,1298984,1179000,5300,2632,3051,3549657296,1163440.608,1046250,4433,2718,2555,3072244940,1202444.204,931450,4158,3019,2637,2638606568,1000609.241,862500,2839,2494
Semi Detached,York Region,1488,1607068023,1080019,1053250,1912,770,1154,992542670,860088.9688,876000,1578,987,885,816824082,922965.0644,783500,1632,1605,915,695240389,759825.5617,769500,1330,1784
Semi Detached,Durham Region,959,741344250,773039,753450,1133,301,872,524266544,601223.1009,560250,1017,481,579,335475546,579405.0881,473125,897,671,609,297786390,488976.0099,460750,639,572
Town Houses,Halton Region,1985,1955172574,984974,914000,2417,841,1654,1314589511,794794.1421,754750,2095,1230,1134,975794284,860488.7866,672500,1939,1745,1129,760973075,674023.9814,637000,1396,1580
Town Houses,Peel Region,2260,2002130021,885898,865778,2959,1183,1864,1380157505,740427.846,730250,2580,1550,1473,1124941670,763707.8547,649500,2505,2053,1473,923683532,627076.3965,619950,1918,2137
Town Houses,City of Toronto,1437,1747353880,1215973,1113997.5,2092,1359,1136,1213433247,1068163.07,992766,1919,1617,895,1015636368,1134789.238,882568,1648,1465,905,851255456,940613.7635,834000,1126,1150
Town Houses,York Region,3039,3283625664,1080495,1025750,4142,1980,2416,2103938464,870835.457,856600,3719,2930,1787,1614152512,903275.0487,775250,3771,4573,1814,1391409343,767039.3291,753500,3152,4440
Town Houses,Durham Region,1826,1464091241,801802,778250,2260,842,1517,948698206,625377.855,618750,1880,931,1079,677349636,627756.8452,540000,1876,1700,1052,553092355,525753.1892,526500,1233,1287
Condo Townhouse,Halton Region,1063,815901039,767546,717000,1285,556,994,631260138,635070.5614,590000,1391,1040,583,390804652,670333.8799,521000,914,891,679,364886801,537388.514,487500,811,970
Condo Townhouse,Peel Region,3002,2248291109,748931,730000,3830,1925,2311,1466038589,634374.119,629500,3292,2310,1847,1210268602,655261.8311,563997.5,3005,2571,1886,1011876772,536520.0276,527700,2162,2385
Condo Townhouse,City of Toronto,3312,2723839922,822415,759694,4727,3361,2413,1753071812,726511.3187,662750,3871,3256,2054,1601903594,779894.6417,604000,3796,3900,2024,1319797735,652073.9797,592147.5,2416,2696
Condo Townhouse,York Region,1140,931420863,817036,785000,1533,984,783,541079390,691033.7037,677225,1176,1137,580,406268313,700462.6086,614375,1081,1383,549,338175744,615984.9617,601250,954,1593
Condo Townhouse,Durham Region,1133,727852672,642412,645000,1382,554,892,445660184,499619.0404,501000,1121,729,587,288841233,492063.4293,434500,954,895,557,227280221,408043.4847,412500,671,692
Condo,Halton Region,1445,951337941,658365,586000,1822,1326,1187,656446391,553029.8155,497500,1872,2010,806,497590604,617358.0695,445000,1358,1705,912,467037621,512102.6546,427750,1168,1709
Condo,Peel Region,4322,2482944837,574490,548000,5548,4129,3233,1726252532,533947.5818,500250,6598,7315,2840,1560195745,549364.6989,449000,4445,3870,3074,1285306450,418121.812,399500,3161,3322
Condo,City of Toronto,23170,16544142420,714033,642750,33182,28781,14857,10032374563,675262.4731,597500,32463,37234,13988,10397228661,743296.3012,567000,24803,24916,16345,9691761427,592949.6132,527500,18172,19188
Condo,York Region,3880,2518245942,649032,627000,4919,3926,2178,1251052510,574404.2746,542375,4206,5357,1780,1100573297,618299.6051,488750,3449,4589,1939,953949878,491980.3394,455000,2956,4568
Condo,Durham Region,725,367421536,506788,520025,867,582,639,272439025,426352.1518,424500,893,853,451,209698946,464964.4035,385000,797,910,493,192779294,391033.0507,366000,559,736
